ID,VerseID,Word,Meaning
107,"تك49 :21","مسيبة","متروكة تذهب حيث تشاء"
108,"تك49 :22","يوسف","اسم عبرى معناه يزيد"
109,"تك50: 11","بيدر","مكان درس الحبوب"
110,"خر1: 12","فاختشوا","فارتعبوا - ففزعوا"
111,"خر1: 14","اللبن","الطوب المصنوع من الطين"
112,"خر1: 15","قابلتى","القابلة=الداية-إمرأة تساعد النساء عند الولادة"
113,"خر2: 3","سفطا","وعاء كالقفة أو السلة"
114,"خر2: 5","امتها","أمة = عبدة - خادمة"
115,"خر3: 2","العليقة","شجرة تأكلها الأبل"
116,"خر3: 14","اهيه","الكائن بذاته - واجب الوجود"
117,"خر4: 16","الها","يتكلم فى أمور إلهية إرجع الى 1صم28: 13"
118,"خر7: 11","عرافو","العراف=المنجم - الساحر"
119,"خر7: 18","فيعاف","يعاف= يكره - يترك"
120,"خر7: 19","اجامهم","الآجام = البرك - أماكن المياه"
121,"خر8: 3","تنانيرك","التنور=الفرن"
122,"خر8: 19","اصبع","المراد القوة"
123,"خر8: 29","يخاتل","يخادع - يراوغ"
124,"خر9: 9","بثور","دمامل"
125,"خر9: 31","مبزرا","حاملا بزار"
126,"خر9: 32","القطاني","الحبوب على أنواعها كالعدس"
127,"خر10: 19","تخوم","حدود"
128,"خر10: 26","ظلف","حافر - الجزء اليابس من أطراف الحيوان"
129,"خر10: 29","نعما","ما أحسن ما قلت أو ما أفضل ما فعلت"
130,"خر11: 5","الرحى","مطحنة الحبوب"
131,"خر12: 3","شاة","الواحدة من الغنم أو الماعز"
132,"خر12 :7","القائمتين","دعامتا الباب بين العتبتين العليا و السفلى"
133,"خر12: 9","اكارعه","الكراع = ساق الحيوان تحت الركبة"
134,"خر12: 11","احقاؤكم","حق= اعلى عظمة الفخد"
135,"خر12: 16","محفل","اجتماع - مجلس"
136,"خر12: 22","باقة","حزمة"
137,"خر12: 38","لفيف","المصريون الذين خرجوا مع شعب اسرائيل"
138,"خر13: 2","قدس","افرز - خصص"
139,"خر15: 5","اللجج","المياه الكثيرة"
140,"خر16: 4","ناموسي","شريعتى"
141,"خر16: 13","السلوى","طائر السمان"
142,"خر16: 16","عمرا","العمر = 2.3 لتر"
143,"خر16: 33","قسطا","مكيالا - اناءا"
144,"خر16: 36","الايفة","مكيال= 22.991 لتر"
145,"خر17 :7","مسة","تجربة"
146,"خر18: 11","بغوا","ظلموا - اعتدوا"
147,"خر19: 12","احترزوا","انتبهوا - تحزروا"
148,"خر19: 16","المحلة","المخيم أو المعسكر"
149,"خر19: 22","يبطش","يعاملهم بعنف"
150,"خر20: 26","بدرج","الدرج = السلم"
151,"خر22: 6","اكداس","اكوام"
152,"خر22: 9","جناية","ذنب - جريمة"
153,"خر22: 26","ارتهنت","اخذته رهينة"
154,"خر22: 29","بيدرك","البيدر= مكان درس الحبوب بواسطة الجرن"
155,"خر23: 24","انصابهم","انصاب=حجارة تنصب للأصنام لعبادتها"
156,"خر23: 26","مسقطة","التى تسقط جنينها قبل أوان الولادة"
157,"خر23: 28","الزنابير","الزنبورة=الدبور= حشرة لونها أصفر و أسود"
158,"خر24: 6","الطسوس","جمع طست أو طشت"
159,"خر24: 10","العقيق","الياقوت الأزرق"
160,"خر25: 4","اسمانجوني","أزرق سماوى"
161,"خر25: 5","تخس","عجل البحر - دولفين"
162,"خر25: 7","الصدرة","من ثياب رئيس الكهنة"
163,"خر25: 10","تابوتا","صندوق كبير وضع فيه عصا هارون و لوحي الشريعة و قسط المن"
164,"خر25: 25","شبر","عرض الكف= 8.5 سم"
165,"خر25: 29","صحافها","الصحفة = وعاء كبير منبسط"
166,"خر25: 31","منارة","شمعدان خيمة الإجتماع له 7 شعب"
167,"خر25: 32","شعب","فروع متشعبة من الأصل"
168,"خر25: 33","لوزية","لها شكل ثمرة اللوز"
169,"خر25: 38","ملاقطها","الملقط=أداة لنزع الفتيلة المحترقة من المنارة"
170,"خر26: 1","شقق","قطع مشقوقة من القماش - ستائر"
171,"خر26:2","ذراعا","الزراع= 45.75 سم تقريبا"
172,"خر26: 4","عرى","جمع عروة = فتحة من القماش يدخل فيها خيط أو زر"
173,"خر26: 6","شظاظا","مشبك - أبزيم"
174,"خر26: 10","حاشية","طرف - حافة"
175,"خر26: 18","التيمن","جهة اليمين - بلاد اليمن قديما"
176,"خر26: 26","عوارض","جمع عارضة = خشبة تعترض ألواح المسكن من خلال حلقات من ذهب"
177,"خر26: 32","رززها","الرزة= مسمار معقوف مثبت فى العمود تعلق عليه الحجاب"
178,"خر26: 36","سجفا","ستائر"
179,"خر27: 3","مراكنه","المراكن = الطشوت"
180,"خر27: 4","شباكة","حاجز على شكل شبكة"
181,"خر27: 5","حاجب","شفة بارزة حول المذبح من الخارج"
182,"خر27: 9","استار","جمع سترة أو ستارة"
183,"خر27: 16","سجف","ستائر"
184,"خر27: 17","رززها","الرزة= مسمار معقوف مثبت فى العمود تعلق عليه الحجاب"
185,"خر27: 20","مرضوض","معصور جيدا"
186,"خر27: 20","السرج","مصابيح توقد بالزيت"
187,"خر28: 4","عمامة","قطعة من القماش يلف بها الراس"
188,"خر28: 8","زنار","حزام"
189,"خر28: 14","الضفر","صنع الضفائر"
